"Refs","Value","Footprint","Qty","DNP"
"C1","1000uF 25V LOW_ESR","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C2","1uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100nF ADC FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","220uF 25V LOW_ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C7","330uF 10V LOW_ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C12","470uF 25V LOW_ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C15","470uF 25V LOW_ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C30","1000uF 10V LOW ESR","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C31","100nF BOOT","Capacitor_SMD:C_0805_2012Metric","1",""
"C32","2.2uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C33","2.2uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C34","2.2uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C35","2.2uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C36","4.7nF COMP","Capacitor_SMD:C_0805_2012Metric","1",""
"C37","47pF COMP","Capacitor_SMD:C_0805_2012Metric","1",""
"C38","220uF 10V LOW ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C39","220uF 10V LOW ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C40","2200uF 10V LOW_ESR","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","1",""
"C41","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C42","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C43","10uF 10V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C44","1uF 10V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C45","100nF BOOT","Capacitor_SMD:C_0805_2012Metric","1",""
"C46","2.2uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C47","2.2uF 25V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C48","4.7nF COMP","Capacitor_SMD:C_0805_2012Metric","1",""
"C49","47pF COMP","Capacitor_SMD:C_0805_2012Metric","1",""
"C50","220uF 10V LOW ESR","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C51","1uF 10V X7R","Capacitor_SMD:C_0805_2012Metric","1",""
"C76","1nF FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"C77","1nF FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"C78","1nF FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"C79","1nF FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"C80","10nF CURRENT FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"C90","10nF CURRENT FILTER","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","SMBJ18A","Diode_SMD:D_SMB","1",""
"D3","SS54","Diode_SMD:D_SMA","1",""
"D4","SMBJ8.0A","Diode_SMD:D_SMB","1",""
"D5","GREEN","LED_SMD:LED_0805_2012Metric","1",""
"D6","BLUE","LED_SMD:LED_0805_2012Metric","1",""
"D7","AMBER","LED_SMD:LED_0805_2012Metric","1",""
"D8","RED","LED_SMD:LED_0805_2012Metric","1",""
"D9","B560C 5A","Diode_SMD:D_SMC","1",""
"D10","B560C 5A","Diode_SMD:D_SMC","1",""
"F1","15A_EXTERNAL_BLADE","Fuse:Fuse_Blade_ATO_directSolder","1",""
"F2","7.5A_SERVO_OUTPUT_FUSE","Fuse:Fuse_Blade_ATO_directSolder","1",""
"F3","5A PI OUTPUT FUSE","Fuse:Fuse_1206_3216Metric","1",""
"J1","BATTERY_XT60_PIGTAIL","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"J2","ESP32_PICO_KIT_V4.1_CARRIER","PickleballRobot:ESP32_PICO_KIT_V4_1_Carrier","1",""
"J4","LEFT_GA25_370_MOTOR_ENCODER","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1",""
"J5","RIGHT_GA25_370_MOTOR_ENCODER","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1",""
"J9","PI POWER: 2x5V + 2xGND","Connector_Molex:Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal","1",""
"J10","PI_UART_CONTROL","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical","1",""
"J11","SERVO_6V_POWER_OUT","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"J12","MAIN_SWING_25KG_SERVO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J13","ELBOW_MG996R_SERVO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J14","WRIST_MG90S_SERVO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"L1","33uH >=4A SHIELDED","Inductor_SMD:L_Sunlord_MWSA1265S","1",""
"L2","XAL7070-682MEC 6.8uH","Inductor_SMD:L_Coilcraft_XAL7070-XXX","1",""
"L3","XAL7070-682MEC 6.8uH","Inductor_SMD:L_Coilcraft_XAL7070-XXX","1",""
"R1","100k 1% BAT DIV TOP","Resistor_SMD:R_0805_2012Metric","1",""
"R2","27k 1% BAT DIV BOTTOM","Resistor_SMD:R_0805_2012Metric","1",""
"R3","1k ADC PROTECT","Resistor_SMD:R_0805_2012Metric","1",""
"R7","1k CURRENT SENSE","Resistor_SMD:R_0805_2012Metric","1",""
